group,feature,n,nan_count,nan_rate
real,absdiff_std,335,24,0.07164179104477612
real,bvp_std,335,24,0.07164179104477612
real,d3_temporal_score,335,0,0.0
real,highfreq_score,335,0,0.0
real,patch_corr_mean,335,24,0.07164179104477612
real,patch_signal_std_mean,335,24,0.07164179104477612
real,boundary_score_mean,335,1,0.0029850746268656717
real,boundary_score_std,335,1,0.0029850746268656717
real,boundary_score_max,335,1,0.0029850746268656717
real,identity_sim_std,335,2,0.005970149253731343
diffusion,absdiff_std,217,36,0.16589861751152074
diffusion,bvp_std,217,36,0.16589861751152074
diffusion,d3_temporal_score,217,0,0.0
diffusion,highfreq_score,217,0,0.0
diffusion,patch_corr_mean,217,36,0.16589861751152074
diffusion,patch_signal_std_mean,217,36,0.16589861751152074
diffusion,boundary_score_mean,217,8,0.03686635944700461
diffusion,boundary_score_std,217,8,0.03686635944700461
diffusion,boundary_score_max,217,8,0.03686635944700461
diffusion,identity_sim_std,217,8,0.03686635944700461
deepfake,absdiff_std,248,44,0.1774193548387097
deepfake,bvp_std,248,44,0.1774193548387097
deepfake,d3_temporal_score,248,0,0.0
deepfake,highfreq_score,248,0,0.0
deepfake,patch_corr_mean,248,44,0.1774193548387097
deepfake,patch_signal_std_mean,248,44,0.1774193548387097
deepfake,boundary_score_mean,248,13,0.05241935483870968
deepfake,boundary_score_std,248,13,0.05241935483870968
deepfake,boundary_score_max,248,13,0.05241935483870968
deepfake,identity_sim_std,248,13,0.05241935483870968
