feature,mean_abs_shap_real,mean_abs_shap_diffusion,mean_abs_shap_deepfake,mean_abs_shap_overall
bvp_std,0.4607416,1.3959616,0.23568445,0.69746244
identity_sim_std,0.6780461,0.1940694,0.9794533,0.6171894
boundary_score_std,0.21169052,0.5671835,0.11114825,0.2966739
highfreq_score,0.30224222,0.22567438,0.29162824,0.27318165
patch_signal_std_mean,0.21380755,0.28897604,0.2900439,0.26427585
boundary_score_mean,0.18787822,0.10527905,0.4692711,0.25414282
d3_temporal_score,0.19615151,0.25237966,0.26101232,0.23651458
boundary_score_max,0.1484321,0.20418073,0.1371978,0.16327024
patch_corr_mean,0.14023198,0.124183126,0.21617411,0.1601964
absdiff_std,0.06385538,0.08085956,0.095386334,0.080033734
