preset,fake_weight,threshold,cv_macro_f1,cv_accuracy,cv_macro_auc,cv_fake_recall,cv_stage1_acc,n_stage1,n_stage2,stage1_features,stage2_features
top_split,1.0,0.45,0.7582581163070513,0.75625,0.8899016604197992,0.8440860215053764,0.7921875,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
top_split,1.0,0.5,0.7578119178468888,0.75625,0.8899016604197992,0.8279569892473119,0.790625,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
top_split,2.0,0.5,0.7573456842057095,0.7546875,0.8883279384494257,0.8602150537634409,0.7921875,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
top_split,1.5,0.5,0.754290063394405,0.7515625,0.8903841656892498,0.8494623655913979,0.7875,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
top_split,1.0,0.4,0.7542027323648838,0.7515625,0.8899016604197992,0.8548387096774194,0.7875,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
top_split,1.0,0.3,0.7537533015048355,0.7515625,0.8899016604197992,0.8978494623655914,0.790625,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
top_split,1.0,0.55,0.7509334550774821,0.75,0.8899016604197992,0.7956989247311828,0.7828125,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
top_split,2.0,0.55,0.7508134005596515,0.7484375,0.8883279384494257,0.8440860215053764,0.7859375,5,5,"identity_sim_std,bvp_std,highfreq_score,boundary_score_mean,boundary_score_std","bvp_std,identity_sim_std,boundary_score_std,boundary_score_mean,highfreq_score"
all,1.0,0.55,0.7504126591468646,0.75,0.8947040800788612,0.8333333333333334,0.7953125,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
all,1.0,0.45,0.7497688506296827,0.7484375,0.8947040800788612,0.8575268817204301,0.79375,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
all,1.5,0.55,0.7496978756638643,0.7484375,0.8941304657588723,0.8521505376344086,0.79375,10,10,"absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std","absdiff_std,bvp_std,d3_temporal_score,highfreq_score,patch_corr_mean,patch_signal_std_mean,boundary_score_mean,boundary_score_std,boundary_score_max,identity_sim_std"
