임계값 비교 (ambiguous 없음, 둘 다 높으면 더 높은 쪽 선택)
선정 기준: macro_f1 최대 → accuracy → min_recall
그리드: 0.30 ~ 0.80 step 0.05 (11x11 = 121 조합)
기준(0.50/0.50): accuracy=0.715, macro_f1=0.712, min_recall=0.700
[추천] tau_diff=0.55, tau_df=0.60  accuracy=0.733, macro_f1=0.728, min_recall=0.694
  recall_real=0.782, recall_diffusion=0.700, recall_deepfake=0.694
----------------------------------------------------------------------------------------
rank  tau_d  tau_df     acc  macroF1   minR  R_real  R_diff    R_df
----------------------------------------------------------------------------------------
   1   0.55    0.60   0.732    0.728  0.694   0.782   0.700   0.694
   2   0.55    0.55   0.730    0.726  0.700   0.761   0.700   0.714
   3   0.55    0.65   0.730    0.725  0.673   0.791   0.700   0.673
   4   0.60    0.60   0.730    0.724  0.673   0.794   0.673   0.694
   5   0.55    0.70   0.730    0.724  0.645   0.812   0.700   0.645
   6   0.60    0.55   0.728    0.722  0.673   0.773   0.673   0.714
   7   0.65    0.60   0.729    0.722  0.645   0.806   0.645   0.698
   8   0.60    0.65   0.728    0.721  0.673   0.803   0.673   0.673
   9   0.55    0.50   0.724    0.721  0.700   0.740   0.700   0.722
  10   0.60    0.70   0.728    0.720  0.645   0.824   0.673   0.645
  11   0.65    0.55   0.725    0.719  0.645   0.782   0.645   0.718
  12   0.65    0.65   0.726    0.719  0.645   0.818   0.645   0.673
  13   0.50    0.60   0.722    0.718  0.694   0.758   0.700   0.694
  14   0.55    0.45   0.720    0.718  0.700   0.719   0.700   0.738
  15   0.70    0.60   0.726    0.718  0.618   0.818   0.618   0.698
  16   0.65    0.70   0.726    0.718  0.645   0.839   0.645   0.645
  17   0.35    0.70   0.721    0.717  0.645   0.755   0.756   0.645
  18   0.60    0.50   0.721    0.717  0.673   0.752   0.673   0.722
  19   0.35    0.65   0.720    0.717  0.673   0.734   0.751   0.673
  20   0.35    0.60   0.720    0.717  0.694   0.725   0.742   0.694
  21   0.35    0.55   0.719    0.717  0.707   0.707   0.742   0.714
  22   0.50    0.55   0.720    0.717  0.700   0.737   0.700   0.714
  23   0.55    0.75   0.724    0.717  0.609   0.824   0.700   0.609
  24   0.40    0.70   0.720    0.716  0.645   0.767   0.733   0.645
  25   0.50    0.70   0.721    0.716  0.645   0.788   0.705   0.645
  26   0.40    0.65   0.719    0.716  0.673   0.746   0.728   0.673
  27   0.40    0.60   0.719    0.716  0.694   0.737   0.719   0.694
  28   0.50    0.65   0.720    0.715  0.673   0.767   0.700   0.673
  29   0.70    0.55   0.722    0.715  0.618   0.794   0.618   0.718
  30   0.40    0.55   0.718    0.715  0.714   0.719   0.719   0.714
  31   0.70    0.65   0.724    0.715  0.618   0.830   0.618   0.673
  32   0.45    0.60   0.719    0.715  0.694   0.746   0.705   0.694
  33   0.45    0.55   0.718    0.714  0.705   0.728   0.705   0.714
  34   0.60    0.45   0.718    0.714  0.673   0.731   0.673   0.738
  35   0.30    0.70   0.718    0.714  0.645   0.740   0.765   0.645
  36   0.30    0.60   0.716    0.714  0.694   0.710   0.751   0.694
  37   0.65    0.50   0.719    0.714  0.645   0.761   0.645   0.726
  38   0.30    0.65   0.716    0.714  0.673   0.719   0.760   0.673
  39   0.70    0.70   0.724    0.714  0.618   0.851   0.618   0.645
  40   0.30    0.55   0.715    0.713  0.693   0.693   0.751   0.714
  41   0.75    0.60   0.722    0.713  0.594   0.824   0.594   0.698
  42   0.60    0.75   0.721    0.713  0.609   0.836   0.673   0.609
  43   0.55    0.40   0.714    0.713  0.693   0.693   0.700   0.754
  44   0.45    0.70   0.718    0.713  0.645   0.776   0.710   0.645
  45   0.55    0.80   0.720    0.712  0.577   0.830   0.714   0.577
  46   0.45    0.65   0.716    0.712  0.673   0.755   0.705   0.673
  47   0.50    0.50   0.715    0.712  0.700   0.719   0.700   0.722
  48   0.35    0.75   0.716    0.711  0.609   0.767   0.760   0.609
  49   0.35    0.50   0.712    0.711  0.690   0.690   0.737   0.722
  50   0.65    0.45   0.715    0.711  0.645   0.740   0.645   0.742
  51   0.40    0.50   0.712    0.711  0.701   0.701   0.719   0.722
  52   0.65    0.75   0.720    0.710  0.609   0.851   0.645   0.609
  53   0.75    0.55   0.719    0.710  0.594   0.800   0.594   0.718
  54   0.70    0.50   0.716    0.710  0.618   0.770   0.618   0.730
  55   0.75    0.65   0.720    0.710  0.594   0.836   0.594   0.673
  56   0.45    0.50   0.712    0.710  0.705   0.710   0.705   0.722
  57   0.40    0.75   0.715    0.710  0.609   0.779   0.737   0.609
  58   0.50    0.45   0.711    0.709  0.699   0.699   0.700   0.738
  59   0.60    0.40   0.711    0.709  0.673   0.704   0.673   0.754
  60   0.75    0.70   0.720    0.709  0.594   0.857   0.594   0.645
  61   0.50    0.75   0.715    0.708  0.609   0.800   0.705   0.609
  62   0.30    0.75   0.712    0.708  0.609   0.752   0.770   0.609
  63   0.30    0.50   0.709    0.708  0.675   0.675   0.747   0.722
  64   0.60    0.80   0.716    0.707  0.577   0.842   0.682   0.577
  65   0.70    0.45   0.712    0.707  0.618   0.749   0.618   0.746
  66   0.35    0.80   0.712    0.707  0.577   0.773   0.774   0.577
  67   0.45    0.45   0.709    0.707  0.690   0.690   0.705   0.738
  68   0.80    0.60   0.719    0.707  0.562   0.833   0.562   0.702
  69   0.70    0.75   0.718    0.707  0.609   0.863   0.618   0.609
  70   0.35    0.45   0.708    0.707  0.669   0.669   0.733   0.738
  71   0.40    0.45   0.708    0.706  0.681   0.681   0.714   0.738
  72   0.55    0.35   0.706    0.706  0.669   0.669   0.700   0.762
  73   0.65    0.40   0.709    0.706  0.645   0.713   0.645   0.758
  74   0.40    0.80   0.711    0.706  0.577   0.785   0.751   0.577
  75   0.80    0.55   0.716    0.705  0.562   0.809   0.562   0.726
  76   0.45    0.75   0.711    0.705  0.609   0.788   0.710   0.609
  77   0.75    0.50   0.712    0.705  0.594   0.776   0.594   0.730
